"timeframe","pair","q","lambda_xy","h_x","h_y"
"1D","Pres-VN30",4,0.494721679608613,0.495596273511245,0.479599588603384
"1D","Pres-VN30",5,0.474745794060098,0.476183492801708,0.454431942640479
"M30","VN30-VNINDEX",-5,0.84851198947181,0.690492759552433,0.695022664900257
"M30","VN30-VNINDEX",-4,0.801826658731046,0.673130319437356,0.676976958882676
"M30","VN30-VNINDEX",-3,0.742164832624366,0.65370533694699,0.657067880740758
"M30","VN30-VNINDEX",-2,0.674432744330936,0.633439758359089,0.637152292168541
"M30","VN30-VNINDEX",-1,0.626038788577694,0.613641275365152,0.618245057552932
"M30","VN30-VNINDEX",1,0.573553725673658,0.56912140862185,0.57372762758478
"M30","VN30-VNINDEX",2,0.541129283974258,0.538452886834477,0.541767701728417
"M30","VN30-VNINDEX",3,0.504651241667369,0.503313994849036,0.505431684113398
"M30","VN30-VNINDEX",4,0.471257046029483,0.470496806762166,0.472207052207681
"M30","VN30-VNINDEX",5,0.444571866737312,0.44392485917912,0.445715961481007
"M30","VN30-VN100",-5,0.784084363157991,0.690492759552433,0.702945494457018
"M30","VN30-VN100",-4,0.755760908254992,0.673130319437356,0.683470076973979
"M30","VN30-VN100",-3,0.717828676933478,0.65370533694699,0.661791297715945
"M30","VN30-VN100",-2,0.662466836465055,0.633439758359089,0.639926091870182
"M30","VN30-VN100",-1,0.619762041361026,0.613641275365152,0.61926641669445
"M30","VN30-VN100",1,0.571299471202357,0.56912140862185,0.572498435750762
"M30","VN30-VN100",2,0.53957358487419,0.538452886834477,0.540418002527018
"M30","VN30-VN100",3,0.503718123724553,0.503313994849036,0.504409460803124
"M30","VN30-VN100",4,0.470574273453865,0.470496806762166,0.471283851420053
"M30","VN30-VN100",5,0.44384273666956,0.44392485917912,0.444559876662289
"M30","VN100-VNINDEX",-5,0.875329008807881,0.702945494457018,0.695022664900257
"M30","VN100-VNINDEX",-4,0.832559476948971,0.683470076973979,0.676976958882676
"M30","VN100-VNINDEX",-3,0.770536113910243,0.661791297715945,0.657067880740758
"M30","VN100-VNINDEX",-2,0.682858726241679,0.639926091870182,0.637152292168541
"M30","VN100-VNINDEX",-1,0.626939118155935,0.61926641669445,0.618245057552932
"M30","VN100-VNINDEX",1,0.574734537809792,0.572498435750762,0.57372762758478
"M30","VN100-VNINDEX",2,0.541666350945027,0.540418002527018,0.541767701728417
"M30","VN100-VNINDEX",3,0.504757324462745,0.504409460803124,0.505431684113398
"M30","VN100-VNINDEX",4,0.471171133096846,0.471283851420053,0.472207052207681
"M30","VN100-VNINDEX",5,0.444364225705634,0.444559876662289,0.445715961481007
"M30","Pcap-VN30",-5,0.939114745462306,0.734566001251132,0.690492759552433
"M30","Pcap-VN30",-4,0.889358345847634,0.709355233587226,0.673130319437356
"M30","Pcap-VN30",-3,0.813882580866333,0.680030962593218,0.65370533694699
"M30","Pcap-VN30",-2,0.715304529285765,0.65097747570559,0.633439758359089
"M30","Pcap-VN30",-1,0.644878892291785,0.626259626193217,0.613641275365152
"M30","Pcap-VN30",1,0.576762572567089,0.574658897924648,0.56912140862185
"M30","Pcap-VN30",2,0.541734881292902,0.542041450807592,0.538452886834477
"M30","Pcap-VN30",3,0.504447806708907,0.507720821577763,0.503313994849036
"M30","Pcap-VN30",4,0.47109126641587,0.477138880785714,0.470496806762166
"M30","Pcap-VN30",5,0.444442436187317,0.452416821401801,0.44392485917912
"M30","Pheur-VN30",-5,0.730969350883287,0.637091369931297,0.690492759552433
"M30","Pheur-VN30",-4,0.689539740271427,0.621133491350983,0.673130319437356
"M30","Pheur-VN30",-3,0.630759005415414,0.605266873400599,0.65370533694699
"M30","Pheur-VN30",-2,0.562315694531539,0.590306912616211,0.633439758359089
"M30","Pheur-VN30",-1,0.539109032328146,0.576481283555373,0.613641275365152
"M30","Pheur-VN30",1,0.541273558001605,0.546769626513322,0.56912140862185
"M30","Pheur-VN30",2,0.526674926388366,0.528430884643057,0.538452886834477
"M30","Pheur-VN30",3,0.507674631557099,0.508556813251145,0.503313994849036
"M30","Pheur-VN30",4,0.488266294021704,0.489078155462225,0.470496806762166
"M30","Pheur-VN30",5,0.470442506899934,0.471424405879531,0.44392485917912
"M30","Pratio-VN30",-5,0.895793586893505,0.635571047520537,0.690492759552433
"M30","Pratio-VN30",-4,0.846435882106747,0.619631596139723,0.673130319437356
"M30","Pratio-VN30",-3,0.767976266453826,0.603846637853498,0.65370533694699
"M30","Pratio-VN30",-2,0.652901567996519,0.588988878878052,0.633439758359089
"M30","Pratio-VN30",-1,0.575581966119184,0.575173512859976,0.613641275365152
"M30","Pratio-VN30",1,0.543942199995068,0.545565558136975,0.56912140862185
"M30","Pratio-VN30",2,0.526508453363977,0.527530969646998,0.538452886834477
"M30","Pratio-VN30",3,0.506590609203443,0.508000649655487,0.503313994849036
"M30","Pratio-VN30",4,0.486641767526377,0.488740061116342,0.470496806762166
"M30","Pratio-VN30",5,0.468311087526963,0.471155246380897,0.44392485917912
"M30","Pres-VN30",-5,0.963768480454138,0.642118006780659,0.690492759552433
"M30","Pres-VN30",-4,0.913460385206651,0.625949641238937,0.673130319437356
"M30","Pres-VN30",-3,0.833907773310785,0.609620444939852,0.65370533694699
"M30","Pres-VN30",-2,0.708387388733659,0.593979138358423,0.633439758359089
"M30","Pres-VN30",-1,0.59640558265768,0.579346468470998,0.613641275365152
"M30","Pres-VN30",1,0.547649038295397,0.548244815356847,0.56912140862185
"M30","Pres-VN30",2,0.529172275903389,0.52935018836157,0.538452886834477
"M30","Pres-VN30",3,0.508393992625778,0.509064727698327,0.503313994849036
"M30","Pres-VN30",4,0.488043514973442,0.489372662152144,0.470496806762166
"M30","Pres-VN30",5,0.469846091766685,0.471651676502746,0.44392485917912
"H1","VN30-VNINDEX",-5,0.788540769103136,0.677318093006308,0.700111285763916
"H1","VN30-VNINDEX",-4,0.746703675169192,0.656366779331659,0.675958369809602
"H1","VN30-VNINDEX",-3,0.697599341853722,0.635156901785926,0.649488092539401
"H1","VN30-VNINDEX",-2,0.648845000820737,0.615535098285469,0.624803874272457
"H1","VN30-VNINDEX",-1,0.612202839042261,0.597985119073486,0.604058259316043
"H1","VN30-VNINDEX",1,0.563101975757256,0.560259052009875,0.561508891439789
"H1","VN30-VNINDEX",2,0.536269487595972,0.535847495689856,0.535049260870319
"H1","VN30-VNINDEX",3,0.508198256667667,0.509185977343954,0.507083130844461
"H1","VN30-VNINDEX",4,0.482463327459981,0.484034517023883,0.481392970888949
"H1","VN30-VNINDEX",5,0.460829664891026,0.46254327314458,0.459795429392751
"H1","VN30-VN100",-5,0.713724080753298,0.677318093006308,0.68341448220684
