"timeframe","pair","stat","estimate","ci_lo","ci_hi","boot_se","p_two_sided"
"M30","Pratio-VN30","slope_rel",0.0290974045670507,0.0120853983893732,0.0438410725577885,0.017802306493405,0
"M30","Pres-VN30","avg_rel",0.0670187454197727,-0.0105024846330568,0.128800117490996,0.0733281867884595,0.666666666666667
"M30","Pres-VN30","slope_full",0.0220175968082455,0.0251095791364906,0.0462989643977748,0.0122042917044184,0
"M30","Pres-VN30","slope_rel",0.0282958925791045,0.0131230589139069,0.043347169400402,0.0167581013940636,0
"M30","nested_mean-minus-Pcap","gap",0.0961696074274879,0.0919348654102524,0.100228499965603,0.00282400518405506,0
"H1","VN30-VNINDEX","avg_rel",0.964252908962434,0.956700672531671,0.962200709257414,0.00301356659116831,0
"H1","VN30-VNINDEX","slope_full",0.00153678235546803,-0.00335066896101163,0.00225960032783507,0.00321194901265095,0.666666666666667
"H1","VN30-VNINDEX","slope_rel",0.00242204189309744,0.000416875881116985,0.00223402048931034,0.00102252460037654,0
"H1","VN30-VN100","avg_rel",0.988147721352433,0.987345568723085,0.98813785103785,0.000426140863443546,0
"H1","VN30-VN100","slope_full",-6.86859203617873e-05,-0.00104671463063615,0.000391090095912195,0.000759595119669346,0.666666666666667
"H1","VN30-VN100","slope_rel",6.09494309856174e-05,-0.000662511738682601,-0.000121314065144667,0.000284864645011967,0
"H1","VN100-VNINDEX","avg_rel",0.974057156466158,0.965562033975083,0.971995533699825,0.0039010047608478,0
"H1","VN100-VNINDEX","slope_full",0.000726928437616202,-0.00215165765653975,0.00121196274019754,0.00178720250432215,0.666666666666667
"H1","VN100-VNINDEX","slope_rel",0.00188180177254656,0.000597943753191615,0.00224938141012213,0.000905827200611827,0
"H1","Pcap-VN30","avg_rel",0.889139916724898,0.879007736649463,0.886468028653637,0.00392680649112533,0
"H1","Pcap-VN30","slope_full",-0.000308210769457879,-0.00886061399946105,0.00397549244795661,0.00703415459532686,0.666666666666667
"H1","Pcap-VN30","slope_rel",0.00200081821663257,-0.00245950973846196,-0.000765734300273229,0.000901532138914769,0
"H1","nested_mean-minus-Pcap","gap",0.08634601220211,0.0746993311178438,0.109282253841553,0.0148457362986353,0
"H4","VN30-VNINDEX","avg_rel",0.965969698193002,0.962483971894103,0.970208259052071,0.00418591222885624,0
"H4","VN30-VNINDEX","slope_full",0.00136369205950281,-0.00174451768140887,0.00141903471125284,0.00177687401164559,0.666666666666667
"H4","VN30-VNINDEX","slope_rel",0.000337218836859849,-0.00143689179354237,0.00280316010708423,0.00225431665540295,0.666666666666667
"H4","VN30-VN100","avg_rel",0.988230069763294,0.988065167280948,0.989912766334684,0.000973228743437119,0
"H4","VN30-VN100","slope_full",-1.29021646360699e-05,-0.000649872300626596,-0.000179532826891415,0.000253801033532543,0
"H4","VN30-VN100","slope_rel",-0.000363475166999593,-0.000664717605004511,0.000601550007933779,0.000714802861015137,0.666666666666667
"H4","VN100-VNINDEX","avg_rel",0.974884411697407,0.97157072310079,0.979216509517095,0.00444146619129351,0
"H4","VN100-VNINDEX","slope_full",0.000528310059733395,-0.0020410208499384,0.00183703290686227,0.00211953262325656,0.666666666666667
"H4","VN100-VNINDEX","slope_rel",0.000181322815274059,-0.00112826768222584,0.00224631216851328,0.00182223259917085,0.666666666666667
"H4","Pcap-VN30","avg_rel",0.889573429593901,0.888075591627993,0.904662636836831,0.00873961304656437,0
"H4","Pcap-VN30","slope_full",0.000109090932485901,-0.00158827166670204,-0.000996969525132427,0.000317176345534309,0
"H4","Pcap-VN30","slope_rel",-0.00202630952489135,-0.00376608664907221,0.0075294682324522,0.00673710464513551,0.666666666666667
"H4","nested_mean-minus-Pcap","gap",0.0867879636240003,0.06655139468388,0.0940815619241594,0.010945483854467,0
