"timeframe","pair","range","intercept","slope","hac_se_intercept","hac_se_slope","t_slope","p_slope","p_intercept","r_squared","n"
"H1","Pratio-VN30","full",-0.151897199172543,0.00326380246755496,0.0425551017311466,0.0107175082572976,0.304529969951982,0.762976135113237,0.00131543362457721,0.00918468962127007,30
"H1","Pratio-VN30","reliable",-0.216984613125282,0.0207254226593679,0.0180940613446514,0.00460703132782504,4.49865025535918,0.000364556340609492,2.07734994474581e-09,0.649416874068845,18
"H1","Pres-VN30","full",0.0583782903509371,0.00233058222595736,0.0430271712410729,0.0105240702517439,0.221452553071961,0.826347200582418,0.18569062468137,0.00477435440750231,30
"H1","Pres-VN30","reliable",-0.010467411401868,0.0212172787899198,0.024410952387514,0.00613298287117683,3.45953661302962,0.00322791758845319,0.673786298629247,0.583559142136839,18
"H4","VN30-VNINDEX","full",0.961900842317404,0.00136369205950281,0.00134021397159855,0.00028923533012595,4.7148184107003,6.0473305698794e-05,2.93497646669927e-61,0.406532388035975,30
"H4","VN30-VNINDEX","reliable",0.96497305058604,0.000337218836859849,0.00111262560742849,0.000325826491780444,1.03496445306566,0.319555190446347,2.40464664147596e-32,0.0568642416113834,15
"H4","VN30-VN100","full",0.988146893182767,-1.29021646360699e-05,0.000668557378600117,0.00016827649508698,-0.0766724112562541,0.939429400099725,4.82505531290382e-70,0.000363062597664152,30
"H4","VN30-VN100","reliable",0.989304317746455,-0.000363475166999593,0.000388595503586183,0.000109746342120929,-3.31195700900063,0.00561701287204124,2.00185915360204e-38,0.317787310306535,15
"H4","VN100-VNINDEX","full",0.973227315263054,0.000528310059733395,0.00121459091754082,0.000349866873092474,1.51003167308657,0.142238933877058,1.34425318770125e-62,0.124036300390619,30
"H4","VN100-VNINDEX","reliable",0.97434851355004,0.000181322815274059,0.000785851963539047,0.000256901277939757,0.705807369773298,0.492762991122702,2.30875399955143e-34,0.0273076464695178,15
"H4","Pcap-VN30","full",0.88853791287675,0.000109090932485901,0.004943188077267,0.00121529558240428,0.0897649379010175,0.929113046985284,1.99011538512319e-44,0.000313391873723391,30
"H4","Pcap-VN30","reliable",0.895562171378771,-0.00202630952489135,0.00409516527134181,0.00114188710116081,-1.77452702883802,0.099382090572212,1.44153253985597e-24,0.143248693774631,15
"H4","Pheur-VN30","full",-0.0779094735945826,0.00310876025512117,0.0252883320651515,0.00768075821683948,0.404746532484963,0.688739359137697,0.00459460775786513,0.00873920500307869,30
"H4","Pheur-VN30","reliable",-0.115174132025621,0.014206147788491,0.0154949577691822,0.00489381834783389,2.9028759914595,0.0123396068541265,4.9533129958519e-06,0.284799439878975,15
"H4","Pratio-VN30","full",-0.153964914829554,0.00318440816114655,0.026343451454126,0.0079668306265187,0.399708279293249,0.692404252131021,2.78292957499133e-06,0.00918801164786138,30
"H4","Pratio-VN30","reliable",-0.19433136644579,0.0152178289785097,0.0142677867135162,0.0046039704125676,3.30537071588669,0.00568863603122543,4.51167139444763e-09,0.32633166748715,15
"H4","Pres-VN30","full",0.0282698819203564,0.0029364630103729,0.0232495686742548,0.00708933249535576,0.414208673707516,0.681877308012879,0.234163262473682,0.00812149696176954,30
"H4","Pres-VN30","reliable",-0.00345748310940296,0.0123670398701441,0.0168380884782649,0.00518659419766128,2.38442403605059,0.0330336319012536,0.840489174605989,0.224643854436855,15
